location,chamber,surface_type,trigger,current_copy,defect,replacement,status,verification_result
macos/Sources/Atrium/App/AtriumApp.swift,user,startup error,local store initialization fails,error.localizedDescription,Raw database or framework detail could appear at startup.,"Atrium could not open its local data. Quit Atrium, then open it again.",verified,Replacement present in source; warnings-as-errors suite passed. Default Home and Ask insufficient-evidence states were inspected in the native app where applicable.
macos/Sources/Atrium/App/AtriumApp.swift:110,user,native application,rendered or emitted by the containing control or operation,Finish the active recording or transcription before updating.,None after audit.,Finish the active recording or transcription before updating.,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/App/AtriumApp.swift:115,user,native application,rendered or emitted by the containing control or operation,Finish dictation before updating.,None after audit.,Finish dictation before updating.,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/App/AtriumApp.swift:118,user,native application,rendered or emitted by the containing control or operation,Finish the active meeting task before updating.,None after audit.,Finish the active meeting task before updating.,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/App/AtriumApp.swift:129,user,native application,rendered or emitted by the containing control or operation,Open Atrium,None after audit.,Open Atrium,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/App/AtriumApp.swift:137,user,native application,rendered or emitted by the containing control or operation,Stop Recording,None after audit.,Stop Recording,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/App/AtriumApp.swift:139,user,native application,rendered or emitted by the containing control or operation,Transcribing…,None after audit.,Transcribing…,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/App/AtriumApp.swift:141,user,native application,rendered or emitted by the containing control or operation,Start Recording,None after audit.,Start Recording,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/App/AtriumApp.swift:143,user,native application,rendered or emitted by the containing control or operation,Ask Atrium,None after audit.,Ask Atrium,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/App/AtriumApp.swift:150,user,native application,rendered or emitted by the containing control or operation,Quit Atrium,None after audit.,Quit Atrium,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/App/AtriumApp.swift:24,user,native application,rendered or emitted by the containing control or operation,"Atrium could not open its local data. Quit Atrium, then open it again.",None after audit.,"Atrium could not open its local data. Quit Atrium, then open it again.",blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/App/AtriumApp.swift:42,user,native application,rendered or emitted by the containing control or operation,Atrium could not open,None after audit.,Atrium could not open,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/App/AtriumApp.swift:46,user,native application,rendered or emitted by the containing control or operation,"Atrium could not open its local data. Quit Atrium, then open it again.",None after audit.,"Atrium could not open its local data. Quit Atrium, then open it again.",blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/App/AtriumApp.swift:63,user,native application,rendered or emitted by the containing control or operation,New Meeting,None after audit.,New Meeting,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/App/AtriumApp.swift:68,user,native application,rendered or emitted by the containing control or operation,Ask Atrium,None after audit.,Ask Atrium,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/App/AtriumApp.swift:74,user,native application,rendered or emitted by the containing control or operation,Search Everything,None after audit.,Search Everything,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/App/AtriumApp.swift:79,user,native application,rendered or emitted by the containing control or operation,Company Today,None after audit.,Company Today,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/App/AtriumApp.swift:87,user,native application,rendered or emitted by the containing control or operation,Shared Context,None after audit.,Shared Context,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Support/UpdaterService.swift,user,update status,check or install update,authenticated GitHub CLI | Checking GitHub Releases | Schramm2/notive | disk image | Atrium.app,Update implementation and repository details leaked into user copy.,Plain update status with an internet or retry next step,verified,Replacement present in source; warnings-as-errors suite passed. Default Home and Ask insufficient-evidence states were inspected in the native app where applicable.
macos/Sources/Atrium/Support/UpdaterService.swift:107-149,developer,diagnostic log or stream,update check or installation,Structured update_check start/success/failure and update_install failure,Install success terminates the process before a durable success event is currently recorded.,"Record install success before relaunch, with current and target versions.",blocked_relaunch_event_not_captured,Source and real command behavior inspected; listed blocker prevents full output verification.
macos/Sources/Atrium/Support/UpdaterService.swift:112,user,native application,rendered or emitted by the containing control or operation,current_version=\(currentVersion),None after audit.,current_version=\(currentVersion),blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Support/UpdaterService.swift:127,user,native application,rendered or emitted by the containing control or operation,update_available=true target_version=\(version),None after audit.,update_available=true target_version=\(version),blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
